train_number,run_date,station_code,sequence,scheduled_arrival,actual_arrival,scheduled_departure,actual_departure,distance_km,arrival_delay_min,departure_delay_min,station_dwell_time_min,scheduled_dwell_time_min,dwell_deviation_min,section_id,section_distance_km,sectional_running_time_min,scheduled_running_time_min,delay_recovery_min
12302,2026-08-07,CNB,2,2026-08-07 21:30:00,2026-08-07 21:33:48,2026-08-07 21:35:00,2026-08-07 21:40:48,440.0,3.8,5.8,7.0,5.0,2.0,NDLS->CNB,440.0,278.8,275.0,-3.8
12302,2026-08-07,PRYJ,3,2026-08-07 23:43:00,2026-08-07 23:44:06,2026-08-07 23:45:00,2026-08-07 23:47:06,634.0,1.1,2.1,3.0,2.0,1.0,CNB->PRYJ,194.0,123.3,128.0,4.699999999999999
12302,2026-08-07,DDU,4,2026-08-08 00:45:00,2026-08-08 00:54:24,2026-08-08 00:55:00,2026-08-08 01:03:54,787.0,9.4,8.9,9.5,10.0,-0.5,PRYJ->DDU,153.0,67.3,60.0,-7.300000000000001
12302,2026-08-07,GAYA,5,2026-08-08 03:10:00,2026-08-08 03:19:42,2026-08-08 03:13:00,2026-08-08 03:23:12,992.0,9.7,10.2,3.5,3.0,0.5,DDU->GAYA,205.0,135.8,135.0,-0.7999999999999989
12302,2026-08-07,DHN,6,2026-08-08 05:55:00,2026-08-08 06:01:42,2026-08-08 06:00:00,2026-08-08 06:06:42,1193.0,6.7,6.7,5.0,5.0,0.0,GAYA->DHN,201.0,158.5,162.0,3.499999999999999
12302,2026-08-07,ASN,7,2026-08-08 06:54:00,2026-08-08 06:55:42,2026-08-08 06:56:00,2026-08-08 06:58:12,1251.0,1.7,2.2,2.5,2.0,0.5,DHN->ASN,58.0,49.0,54.0,5.0
12302,2026-08-07,HWH,8,2026-08-08 09:55:00,2026-08-08 09:58:18,,,1450.0,3.3,3.3,2.0,2.0,0.0,ASN->HWH,199.0,180.1,179.0,-1.0999999999999996
12302,2026-08-08,NDLS,1,,,2026-08-08 16:55:00,2026-08-08 16:57:00,0.0,0.0,2.0,2.0,2.0,0.0,,0.0,,,0.0
12302,2026-08-08,CNB,2,2026-08-08 21:30:00,2026-08-08 21:39:48,2026-08-08 21:35:00,2026-08-08 21:46:48,440.0,9.8,11.8,7.0,5.0,2.0,NDLS->CNB,440.0,282.8,275.0,-7.800000000000001
12302,2026-08-08,PRYJ,3,2026-08-08 23:43:00,2026-08-08 23:52:54,2026-08-08 23:45:00,2026-08-08 23:55:24,634.0,9.9,10.4,2.5,2.0,0.5,CNB->PRYJ,194.0,126.1,128.0,1.9000000000000004
12302,2026-08-08,DDU,4,2026-08-09 00:45:00,2026-08-09 00:57:06,2026-08-09 00:55:00,2026-08-09 01:07:36,787.0,12.1,12.6,10.5,10.0,0.5,PRYJ->DDU,153.0,61.7,60.0,-1.6999999999999993
12302,2026-08-08,GAYA,5,2026-08-09 03:10:00,2026-08-09 03:22:00,2026-08-09 03:13:00,2026-08-09 03:25:00,992.0,12.0,12.0,3.0,3.0,0.0,DDU->GAYA,205.0,134.4,135.0,0.5999999999999996
12302,2026-08-08,DHN,6,2026-08-09 05:55:00,2026-08-09 06:05:24,2026-08-09 06:00:00,2026-08-09 06:10:24,1193.0,10.4,10.4,5.0,5.0,0.0,GAYA->DHN,201.0,160.4,162.0,1.5999999999999996
12302,2026-08-08,ASN,7,2026-08-09 06:54:00,2026-08-09 07:03:36,2026-08-09 06:56:00,2026-08-09 07:07:36,1251.0,9.6,11.6,4.0,2.0,2.0,DHN->ASN,58.0,53.2,54.0,0.8000000000000007
12302,2026-08-08,HWH,8,2026-08-09 09:55:00,2026-08-09 10:05:48,,,1450.0,10.8,10.8,2.0,2.0,0.0,ASN->HWH,199.0,178.2,179.0,0.7999999999999989
12302,2026-08-09,NDLS,1,,,2026-08-09 16:55:00,2026-08-09 16:55:00,0.0,0.0,0.0,2.0,2.0,0.0,,0.0,,,0.0
12302,2026-08-09,CNB,2,2026-08-09 21:30:00,2026-08-09 21:38:48,2026-08-09 21:35:00,2026-08-09 21:44:48,440.0,8.8,9.8,6.0,5.0,1.0,NDLS->CNB,440.0,283.8,275.0,-8.8
12302,2026-08-09,PRYJ,3,2026-08-09 23:43:00,2026-08-09 23:50:24,2026-08-09 23:45:00,2026-08-09 23:51:54,634.0,7.4,6.9,1.5,2.0,-0.5,CNB->PRYJ,194.0,125.6,128.0,2.4000000000000004
12302,2026-08-09,DDU,4,2026-08-10 00:45:00,2026-08-10 00:56:36,2026-08-10 00:55:00,2026-08-10 01:06:36,787.0,11.6,11.6,10.0,10.0,0.0,PRYJ->DDU,153.0,64.7,60.0,-4.699999999999999
12302,2026-08-09,GAYA,5,2026-08-10 03:10:00,2026-08-10 03:20:24,2026-08-10 03:13:00,2026-08-10 03:24:24,992.0,10.4,11.4,4.0,3.0,1.0,DDU->GAYA,205.0,133.8,135.0,1.1999999999999993
12302,2026-08-09,DHN,6,2026-08-10 05:55:00,2026-08-10 06:05:06,2026-08-10 06:00:00,2026-08-10 06:10:36,1193.0,10.1,10.6,5.5,5.0,0.5,GAYA->DHN,201.0,160.7,162.0,1.3000000000000007
12302,2026-08-09,ASN,7,2026-08-10 06:54:00,2026-08-10 07:00:42,2026-08-10 06:56:00,2026-08-10 07:03:12,1251.0,6.7,7.2,2.5,2.0,0.5,DHN->ASN,58.0,50.1,54.0,3.8999999999999995
12302,2026-08-09,HWH,8,2026-08-10 09:55:00,2026-08-10 10:01:30,,,1450.0,6.5,6.5,2.0,2.0,0.0,ASN->HWH,199.0,178.3,179.0,0.7000000000000002
12302,2026-08-10,NDLS,1,,,2026-08-10 16:55:00,2026-08-10 16:55:00,0.0,0.0,0.0,2.0,2.0,0.0,,0.0,,,0.0
12302,2026-08-10,CNB,2,2026-08-10 21:30:00,2026-08-10 21:30:00,2026-08-10 21:35:00,2026-08-10 21:37:00,440.0,0.0,2.0,7.0,5.0,2.0,NDLS->CNB,440.0,275.0,275.0,0.0
12302,2026-08-10,PRYJ,3,2026-08-10 23:43:00,2026-08-10 23:43:00,2026-08-10 23:45:00,2026-08-10 23:44:30,634.0,0.0,-0.5,1.5,2.0,-0.5,CNB->PRYJ,194.0,126.0,128.0,2.0
12302,2026-08-10,DDU,4,2026-08-11 00:45:00,2026-08-11 00:48:24,2026-08-11 00:55:00,2026-08-11 00:57:54,787.0,3.4,2.9,9.5,10.0,-0.5,PRYJ->DDU,153.0,63.9,60.0,-3.9
12302,2026-08-10,GAYA,5,2026-08-11 03:10:00,2026-08-11 03:13:00,2026-08-11 03:13:00,2026-08-11 03:15:30,992.0,3.0,2.5,2.5,3.0,-0.5,DDU->GAYA,205.0,135.1,135.0,-0.10000000000000009
12302,2026-08-10,DHN,6,2026-08-11 05:55:00,2026-08-11 05:57:06,2026-08-11 06:00:00,2026-08-11 06:02:36,1193.0,2.1,2.6,5.5,5.0,0.5,GAYA->DHN,201.0,161.6,162.0,0.3999999999999999
12302,2026-08-10,ASN,7,2026-08-11 06:54:00,2026-08-11 06:54:12,2026-08-11 06:56:00,2026-08-11 06:57:12,1251.0,0.2,1.2,3.0,2.0,1.0,DHN->ASN,58.0,51.6,54.0,2.4
12302,2026-08-10,HWH,8,2026-08-11 09:55:00,2026-08-11 09:55:00,,,1450.0,0.0,0.0,2.0,2.0,0.0,ASN->HWH,199.0,177.8,179.0,1.2
12302,2026-08-11,NDLS,1,,,2026-08-11 16:55:00,2026-08-11 17:05:00,0.0,0.0,10.0,2.0,2.0,0.0,,0.0,,,0.0
12302,2026-08-11,CNB,2,2026-08-11 21:30:00,2026-08-11 21:43:24,2026-08-11 21:35:00,2026-08-11 21:47:54,440.0,13.4,12.9,4.5,5.0,-0.5,NDLS->CNB,440.0,278.4,275.0,-3.4000000000000004
12302,2026-08-11,PRYJ,3,2026-08-11 23:43:00,2026-08-11 23:57:12,2026-08-11 23:45:00,2026-08-11 23:59:42,634.0,14.2,14.7,2.5,2.0,0.5,CNB->PRYJ,194.0,129.3,128.0,-1.299999999999999
12302,2026-08-11,DDU,4,2026-08-12 00:45:00,2026-08-12 01:02:06,2026-08-12 00:55:00,2026-08-12 01:11:36,787.0,17.1,16.6,9.5,10.0,-0.5,PRYJ->DDU,153.0,62.4,60.0,-2.400000000000002
12302,2026-08-11,GAYA,5,2026-08-12 03:10:00,2026-08-12 03:24:36,2026-08-12 03:13:00,2026-08-12 03:29:36,992.0,14.6,16.6,5.0,3.0,2.0,DDU->GAYA,205.0,133.0,135.0,2.0000000000000018
12302,2026-08-11,DHN,6,2026-08-12 05:55:00,2026-08-12 06:08:12,2026-08-12 06:00:00,2026-08-12 06:15:12,1193.0,13.2,15.2,7.0,5.0,2.0,GAYA->DHN,201.0,158.6,162.0,3.400000000000002
12302,2026-08-11,ASN,7,2026-08-12 06:54:00,2026-08-12 07:07:54,2026-08-12 06:56:00,2026-08-12 07:10:24,1251.0,13.9,14.4,2.5,2.0,0.5,DHN->ASN,58.0,52.7,54.0,1.299999999999999
12302,2026-08-11,HWH,8,2026-08-12 09:55:00,2026-08-12 10:11:12,,,1450.0,16.2,16.2,2.0,2.0,0.0,ASN->HWH,199.0,180.8,179.0,-1.799999999999999
12302,2026-08-12,NDLS,1,,,2026-08-12 16:55:00,2026-08-12 16:57:00,0.0,0.0,2.0,2.0,2.0,0.0,,0.0,,,0.0
12302,2026-08-12,CNB,2,2026-08-12 21:30:00,2026-08-12 21:35:36,2026-08-12 21:35:00,2026-08-12 21:41:06,440.0,5.6,6.1,5.5,5.0,0.5,NDLS->CNB,440.0,278.6,275.0,-3.5999999999999996
12302,2026-08-12,PRYJ,3,2026-08-12 23:43:00,2026-08-12 23:47:42,2026-08-12 23:45:00,2026-08-12 23:49:12,634.0,4.7,4.2,1.5,2.0,-0.5,CNB->PRYJ,194.0,126.6,128.0,1.3999999999999995
12302,2026-08-12,DDU,4,2026-08-13 00:45:00,2026-08-13 00:52:48,2026-08-13 00:55:00,2026-08-13 01:02:48,787.0,7.8,7.8,10.0,10.0,0.0,PRYJ->DDU,153.0,63.6,60.0,-3.5999999999999996
12302,2026-08-12,GAYA,5,2026-08-13 03:10:00,2026-08-13 03:23:48,2026-08-13 03:13:00,2026-08-13 03:26:48,992.0,13.8,13.8,3.0,3.0,0.0,DDU->GAYA,205.0,141.0,135.0,-6.000000000000001
12302,2026-08-12,DHN,6,2026-08-13 05:55:00,2026-08-13 06:09:36,2026-08-13 06:00:00,2026-08-13 06:14:36,1193.0,14.6,14.6,5.0,5.0,0.0,GAYA->DHN,201.0,162.8,162.0,-0.7999999999999989
12302,2026-08-12,ASN,7,2026-08-13 06:54:00,2026-08-13 07:10:36,2026-08-13 06:56:00,2026-08-13 07:13:06,1251.0,16.6,17.1,2.5,2.0,0.5,DHN->ASN,58.0,56.0,54.0,-2.0000000000000018
12302,2026-08-12,HWH,8,2026-08-13 09:55:00,2026-08-13 10:10:48,,,1450.0,15.8,15.8,2.0,2.0,0.0,ASN->HWH,199.0,177.7,179.0,1.3000000000000007
12302,2026-08-13,NDLS,1,,,2026-08-13 16:55:00,2026-08-13 16:55:00,0.0,0.0,0.0,2.0,2.0,0.0,,0.0,,,0.0
12302,2026-08-13,CNB,2,2026-08-13 21:30:00,2026-08-13 21:31:42,2026-08-13 21:35:00,2026-08-13 21:36:12,440.0,1.7,1.2,4.5,5.0,-0.5,NDLS->CNB,440.0,276.7,275.0,-1.7
12302,2026-08-13,PRYJ,3,2026-08-13 23:43:00,2026-08-13 23:48:18,2026-08-13 23:45:00,2026-08-13 23:49:48,634.0,5.3,4.8,1.5,2.0,-0.5,CNB->PRYJ,194.0,132.1,128.0,-4.1
12302,2026-08-13,DDU,4,2026-08-14 00:45:00,2026-08-14 00:56:42,2026-08-14 00:55:00,2026-08-14 01:06:42,787.0,11.7,11.7,10.0,10.0,0.0,PRYJ->DDU,153.0,66.9,60.0,-6.8999999999999995
12302,2026-08-13,GAYA,5,2026-08-14 03:10:00,2026-08-14 03:22:42,2026-08-14 03:13:00,2026-08-14 03:25:12,992.0,12.7,12.2,2.5,3.0,-0.5,DDU->GAYA,205.0,136.0,135.0,-1.0
12302,2026-08-13,DHN,6,2026-08-14 05:55:00,2026-08-14 06:01:42,2026-08-14 06:00:00,2026-08-14 06:06:12,1193.0,6.7,6.2,4.5,5.0,-0.5,GAYA->DHN,201.0,156.5,162.0,5.499999999999999
12302,2026-08-13,ASN,7,2026-08-14 06:54:00,2026-08-14 06:59:54,2026-08-14 06:56:00,2026-08-14 07:02:24,1251.0,5.9,6.4,2.5,2.0,0.5,DHN->ASN,58.0,53.7,54.0,0.2999999999999998
12302,2026-08-13,HWH,8,2026-08-14 09:55:00,2026-08-14 10:03:00,,,1450.0,8.0,8.0,2.0,2.0,0.0,ASN->HWH,199.0,180.6,179.0,-1.5999999999999996
12302,2026-08-14,NDLS,1,,,2026-08-14 16:55:00,2026-08-14 16:55:00,0.0,0.0,0.0,2.0,2.0,0.0,,0.0,,,0.0
12302,2026-08-14,CNB,2,2026-08-14 21:30:00,2026-08-14 21:33:00,2026-08-14 21:35:00,2026-08-14 21:38:30,440.0,3.0,3.5,5.5,5.0,0.5,NDLS->CNB,440.0,278.0,275.0,-3.0
12302,2026-08-14,PRYJ,3,2026-08-14 23:43:00,2026-08-14 23:44:24,2026-08-14 23:45:00,2026-08-14 23:47:24,634.0,1.4,2.4,3.0,2.0,1.0,CNB->PRYJ,194.0,125.9,128.0,2.1
12302,2026-08-14,DDU,4,2026-08-15 00:45:00,2026-08-15 00:51:54,2026-08-15 00:55:00,2026-08-15 01:03:54,787.0,6.9,8.9,12.0,10.0,2.0,PRYJ->DDU,153.0,64.5,60.0,-4.5
12302,2026-08-14,GAYA,5,2026-08-15 03:10:00,2026-08-15 03:16:24,2026-08-15 03:13:00,2026-08-15 03:19:24,992.0,6.4,6.4,3.0,3.0,0.0,DDU->GAYA,205.0,132.5,135.0,2.5
12302,2026-08-14,DHN,6,2026-08-15 05:55:00,2026-08-15 06:03:00,2026-08-15 06:00:00,2026-08-15 06:08:00,1193.0,8.0,8.0,5.0,5.0,0.0,GAYA->DHN,201.0,163.6,162.0,-1.5999999999999996
12302,2026-08-14,ASN,7,2026-08-15 06:54:00,2026-08-15 06:54:00,2026-08-15 06:56:00,2026-08-15 06:56:00,1251.0,0.0,0.0,2.0,2.0,0.0,DHN->ASN,58.0,46.0,54.0,8.0
12302,2026-08-14,HWH,8,2026-08-15 09:55:00,2026-08-15 09:56:54,,,1450.0,1.9,1.9,2.0,2.0,0.0,ASN->HWH,199.0,180.9,179.0,-1.9
12302,2026-08-15,NDLS,1,,,2026-08-15 16:55:00,2026-08-15 17:05:00,0.0,0.0,10.0,2.0,2.0,0.0,,0.0,,,0.0
12302,2026-08-15,CNB,2,2026-08-15 21:30:00,2026-08-15 21:45:18,2026-08-15 21:35:00,2026-08-15 21:50:48,440.0,15.3,15.8,5.5,5.0,0.5,NDLS->CNB,440.0,280.3,275.0,-5.300000000000001
12302,2026-08-15,PRYJ,3,2026-08-15 23:43:00,2026-08-15 23:56:24,2026-08-15 23:45:00,2026-08-15 23:59:24,634.0,13.4,14.4,3.0,2.0,1.0,CNB->PRYJ,194.0,125.6,128.0,2.4000000000000004
12302,2026-08-15,DDU,4,2026-08-16 00:45:00,2026-08-16 01:03:30,2026-08-16 00:55:00,2026-08-16 01:13:00,787.0,18.5,18.0,9.5,10.0,-0.5,PRYJ->DDU,153.0,64.1,60.0,-4.1
12302,2026-08-15,GAYA,5,2026-08-16 03:10:00,2026-08-16 03:29:24,2026-08-16 03:13:00,2026-08-16 03:32:54,992.0,19.4,19.9,3.5,3.0,0.5,DDU->GAYA,205.0,136.4,135.0,-1.3999999999999986
12302,2026-08-15,DHN,6,2026-08-16 05:55:00,2026-08-16 06:12:30,2026-08-16 06:00:00,2026-08-16 06:18:30,1193.0,17.5,18.5,6.0,5.0,1.0,GAYA->DHN,201.0,159.6,162.0,2.3999999999999986
12302,2026-08-15,ASN,7,2026-08-16 06:54:00,2026-08-16 07:12:42,2026-08-16 06:56:00,2026-08-16 07:15:12,1251.0,18.7,19.2,2.5,2.0,0.5,DHN->ASN,58.0,54.2,54.0,-0.1999999999999993
12302,2026-08-15,HWH,8,2026-08-16 09:55:00,2026-08-16 10:13:06,,,1450.0,18.1,18.1,2.0,2.0,0.0,ASN->HWH,199.0,177.9,179.0,1.0999999999999979
12302,2026-08-16,NDLS,1,,,2026-08-16 16:55:00,2026-08-16 17:05:00,0.0,0.0,10.0,2.0,2.0,0.0,,0.0,,,0.0
12302,2026-08-16,CNB,2,2026-08-16 21:30:00,2026-08-16 21:40:12,2026-08-16 21:35:00,2026-08-16 21:45:12,440.0,10.2,10.2,5.0,5.0,0.0,NDLS->CNB,440.0,275.2,275.0,-0.1999999999999993
12302,2026-08-16,PRYJ,3,2026-08-16 23:43:00,2026-08-16 23:55:24,2026-08-16 23:45:00,2026-08-16 23:57:54,634.0,12.4,12.9,2.5,2.0,0.5,CNB->PRYJ,194.0,130.2,128.0,-2.200000000000001
12302,2026-08-16,DDU,4,2026-08-17 00:45:00,2026-08-17 01:04:12,2026-08-17 00:55:00,2026-08-17 01:13:42,787.0,19.2,18.7,9.5,10.0,-0.5,PRYJ->DDU,153.0,66.3,60.0,-6.299999999999999
12302,2026-08-16,GAYA,5,2026-08-17 03:10:00,2026-08-17 03:31:06,2026-08-17 03:13:00,2026-08-17 03:33:36,992.0,21.1,20.6,2.5,3.0,-0.5,DDU->GAYA,205.0,137.4,135.0,-2.400000000000002
12302,2026-08-16,DHN,6,2026-08-17 05:55:00,2026-08-17 06:15:06,2026-08-17 06:00:00,2026-08-17 06:20:36,1193.0,20.1,20.6,5.5,5.0,0.5,GAYA->DHN,201.0,161.5,162.0,0.5
12302,2026-08-16,ASN,7,2026-08-17 06:54:00,2026-08-17 07:12:00,2026-08-17 06:56:00,2026-08-17 07:15:00,1251.0,18.0,19.0,3.0,2.0,1.0,DHN->ASN,58.0,51.4,54.0,2.6000000000000014
12302,2026-08-16,HWH,8,2026-08-17 09:55:00,2026-08-17 10:13:42,,,1450.0,18.7,18.7,2.0,2.0,0.0,ASN->HWH,199.0,178.7,179.0,0.3000000000000007
12302,2026-08-17,NDLS,1,,,2026-08-17 16:55:00,2026-08-17 16:55:00,0.0,0.0,0.0,2.0,2.0,0.0,,0.0,,,0.0
12302,2026-08-17,CNB,2,2026-08-17 21:30:00,2026-08-17 21:34:36,2026-08-17 21:35:00,2026-08-17 21:40:06,440.0,4.6,5.1,5.5,5.0,0.5,NDLS->CNB,440.0,279.6,275.0,-4.6
12302,2026-08-17,PRYJ,3,2026-08-17 23:43:00,2026-08-17 23:44:06,2026-08-17 23:45:00,2026-08-17 23:47:06,634.0,1.1,2.1,3.0,2.0,1.0,CNB->PRYJ,194.0,124.0,128.0,3.9999999999999996
12302,2026-08-17,DDU,4,2026-08-18 00:45:00,2026-08-18 00:52:36,2026-08-18 00:55:00,2026-08-18 01:04:36,787.0,7.6,9.6,12.0,10.0,2.0,PRYJ->DDU,153.0,65.5,60.0,-5.5
12302,2026-08-17,GAYA,5,2026-08-18 03:10:00,2026-08-18 03:20:06,2026-08-18 03:13:00,2026-08-18 03:23:06,992.0,10.1,10.1,3.0,3.0,0.0,DDU->GAYA,205.0,135.5,135.0,-0.5
12302,2026-08-17,DHN,6,2026-08-18 05:55:00,2026-08-18 06:04:30,2026-08-18 06:00:00,2026-08-18 06:11:30,1193.0,9.5,11.5,7.0,5.0,2.0,GAYA->DHN,201.0,161.4,162.0,0.5999999999999996
12302,2026-08-17,ASN,7,2026-08-18 06:54:00,2026-08-18 07:00:54,2026-08-18 06:56:00,2026-08-18 07:03:54,1251.0,6.9,7.9,3.0,2.0,1.0,DHN->ASN,58.0,49.4,54.0,4.6
12302,2026-08-17,HWH,8,2026-08-18 09:55:00,2026-08-18 10:01:30,,,1450.0,6.5,6.5,2.0,2.0,0.0,ASN->HWH,199.0,177.6,179.0,1.4000000000000004
12302,2026-08-18,NDLS,1,,,2026-08-18 16:55:00,2026-08-18 16:55:00,0.0,0.0,0.0,2.0,2.0,0.0,,0.0,,,0.0
12302,2026-08-18,CNB,2,2026-08-18 21:30:00,2026-08-18 21:33:24,2026-08-18 21:35:00,2026-08-18 21:39:24,440.0,3.4,4.4,6.0,5.0,1.0,NDLS->CNB,440.0,278.4,275.0,-3.4
12302,2026-08-18,PRYJ,3,2026-08-18 23:43:00,2026-08-18 23:47:36,2026-08-18 23:45:00,2026-08-18 23:50:36,634.0,4.6,5.6,3.0,2.0,1.0,CNB->PRYJ,194.0,128.2,128.0,-0.1999999999999993
12302,2026-08-18,DDU,4,2026-08-19 00:45:00,2026-08-19 00:54:30,2026-08-19 00:55:00,2026-08-19 01:05:30,787.0,9.5,10.5,11.0,10.0,1.0,PRYJ->DDU,153.0,63.9,60.0,-3.9000000000000004
12302,2026-08-18,GAYA,5,2026-08-19 03:10:00,2026-08-19 03:16:00,2026-08-19 03:13:00,2026-08-19 03:19:00,992.0,6.0,6.0,3.0,3.0,0.0,DDU->GAYA,205.0,130.5,135.0,4.5
12302,2026-08-18,DHN,6,2026-08-19 05:55:00,2026-08-19 06:01:48,2026-08-19 06:00:00,2026-08-19 06:08:48,1193.0,6.8,8.8,7.0,5.0,2.0,GAYA->DHN,201.0,162.8,162.0,-0.7999999999999998
12302,2026-08-18,ASN,7,2026-08-19 06:54:00,2026-08-19 07:00:18,2026-08-19 06:56:00,2026-08-19 07:02:18,1251.0,6.3,6.3,2.0,2.0,0.0,DHN->ASN,58.0,51.5,54.0,2.500000000000001
12302,2026-08-18,HWH,8,2026-08-19 09:55:00,2026-08-19 10:01:18,,,1450.0,6.3,6.3,2.0,2.0,0.0,ASN->HWH,199.0,179.0,179.0,0.0
12302,2026-08-19,NDLS,1,,,2026-08-19 16:55:00,2026-08-19 16:57:00,0.0,0.0,2.0,2.0,2.0,0.0,,0.0,,,0.0
12302,2026-08-19,CNB,2,2026-08-19 21:30:00,2026-08-19 21:34:48,2026-08-19 21:35:00,2026-08-19 21:40:18,440.0,4.8,5.3,5.5,5.0,0.5,NDLS->CNB,440.0,277.8,275.0,-2.8
12302,2026-08-19,PRYJ,3,2026-08-19 23:43:00,2026-08-19 23:43:54,2026-08-19 23:45:00,2026-08-19 23:47:54,634.0,0.9,2.9,4.0,2.0,2.0,CNB->PRYJ,194.0,123.6,128.0,4.3999999999999995
12302,2026-08-19,DDU,4,2026-08-20 00:45:00,2026-08-20 00:48:24,2026-08-20 00:55:00,2026-08-20 00:58:54,787.0,3.4,3.9,10.5,10.0,0.5,PRYJ->DDU,153.0,60.5,60.0,-0.5
12302,2026-08-19,GAYA,5,2026-08-20 03:10:00,2026-08-20 03:12:36,2026-08-20 03:13:00,2026-08-20 03:15:06,992.0,2.6,2.1,2.5,3.0,-0.5,DDU->GAYA,205.0,133.7,135.0,1.2999999999999998
12302,2026-08-19,DHN,6,2026-08-20 05:55:00,2026-08-20 05:55:00,2026-08-20 06:00:00,2026-08-20 06:00:00,1193.0,0.0,0.0,5.0,5.0,0.0,GAYA->DHN,201.0,159.9,162.0,2.1
12302,2026-08-19,ASN,7,2026-08-20 06:54:00,2026-08-20 06:54:00,2026-08-20 06:56:00,2026-08-20 06:57:00,1251.0,0.0,1.0,3.0,2.0,1.0,DHN->ASN,58.0,54.0,54.0,0.0
12302,2026-08-19,HWH,8,2026-08-20 09:55:00,2026-08-20 09:55:06,,,1450.0,0.1,0.1,2.0,2.0,0.0,ASN->HWH,199.0,178.1,179.0,0.9
12302,2026-08-20,NDLS,1,,,2026-08-20 16:55:00,2026-08-20 16:57:00,0.0,0.0,2.0,2.0,2.0,0.0,,0.0,,,0.0
