train_number,run_date,station_code,sequence,scheduled_arrival,actual_arrival,scheduled_departure,actual_departure,distance_km
12952,2026-08-11,NDLS,1,,,2026-08-11T16:55:00,2026-08-11T17:00:00,0.0
12952,2026-08-11,KOTA,2,2026-08-11T21:30:00,2026-08-11T21:35:42,2026-08-11T21:40:00,2026-08-11T21:46:12,465.0
12952,2026-08-11,BRC,3,2026-08-12T03:40:00,2026-08-12T03:45:30,2026-08-12T03:50:00,2026-08-12T03:56:00,992.0
12952,2026-08-11,MMCT,4,2026-08-12T08:35:00,2026-08-12T08:40:12,,,1384.0
12302,2026-08-12,NDLS,1,,,2026-08-12T16:55:00,2026-08-12T16:57:00,0.0
12302,2026-08-12,CNB,2,2026-08-12T21:30:00,2026-08-12T21:35:36,2026-08-12T21:35:00,2026-08-12T21:41:06,440.0
12302,2026-08-12,PRYJ,3,2026-08-12T23:43:00,2026-08-12T23:47:42,2026-08-12T23:45:00,2026-08-12T23:49:12,634.0
12302,2026-08-12,DDU,4,2026-08-13T00:45:00,2026-08-13T00:52:48,2026-08-13T00:55:00,2026-08-13T01:02:48,787.0
12302,2026-08-12,GAYA,5,2026-08-13T03:10:00,2026-08-13T03:23:48,2026-08-13T03:13:00,2026-08-13T03:26:48,992.0
12302,2026-08-12,DHN,6,2026-08-13T05:55:00,2026-08-13T06:09:36,2026-08-13T06:00:00,2026-08-13T06:14:36,1193.0
12302,2026-08-12,ASN,7,2026-08-13T06:54:00,2026-08-13T07:10:36,2026-08-13T06:56:00,2026-08-13T07:13:06,1251.0
12302,2026-08-12,HWH,8,2026-08-13T09:55:00,2026-08-13T10:10:48,,,1450.0
22436,2026-08-12,NDLS,1,,,2026-08-12T06:00:00,2026-08-12T06:05:00,0.0
22436,2026-08-12,CNB,2,2026-08-12T10:08:00,2026-08-12T10:17:42,2026-08-12T10:10:00,2026-08-12T10:19:42,440.0
22436,2026-08-12,PRYJ,3,2026-08-12T12:08:00,2026-08-12T12:18:12,2026-08-12T12:10:00,2026-08-12T12:20:42,634.0
22436,2026-08-12,BSB,4,2026-08-12T14:00:00,2026-08-12T14:07:30,,,759.0
12952,2026-08-12,NDLS,1,,,2026-08-12T16:55:00,2026-08-12T17:00:00,0.0
12952,2026-08-12,KOTA,2,2026-08-12T21:30:00,2026-08-12T21:38:30,2026-08-12T21:40:00,2026-08-12T21:50:30,465.0
12952,2026-08-12,BRC,3,2026-08-13T03:40:00,2026-08-13T03:48:12,2026-08-13T03:50:00,2026-08-13T03:57:42,992.0
12952,2026-08-12,MMCT,4,2026-08-13T08:35:00,2026-08-13T08:41:24,,,1384.0
12302,2026-08-13,NDLS,1,,,2026-08-13T16:55:00,2026-08-13T16:55:00,0.0
12302,2026-08-13,CNB,2,2026-08-13T21:30:00,2026-08-13T21:31:42,2026-08-13T21:35:00,2026-08-13T21:36:12,440.0
12302,2026-08-13,PRYJ,3,2026-08-13T23:43:00,2026-08-13T23:48:18,2026-08-13T23:45:00,2026-08-13T23:49:48,634.0
12302,2026-08-13,DDU,4,2026-08-14T00:45:00,2026-08-14T00:56:42,2026-08-14T00:55:00,2026-08-14T01:06:42,787.0
12302,2026-08-13,GAYA,5,2026-08-14T03:10:00,2026-08-14T03:22:42,2026-08-14T03:13:00,2026-08-14T03:25:12,992.0
12302,2026-08-13,DHN,6,2026-08-14T05:55:00,2026-08-14T06:01:42,2026-08-14T06:00:00,2026-08-14T06:06:12,1193.0
12302,2026-08-13,ASN,7,2026-08-14T06:54:00,2026-08-14T06:59:54,2026-08-14T06:56:00,2026-08-14T07:02:24,1251.0
12302,2026-08-13,HWH,8,2026-08-14T09:55:00,2026-08-14T10:03:00,,,1450.0
22436,2026-08-13,NDLS,1,,,2026-08-13T06:00:00,2026-08-13T06:00:00,0.0
22436,2026-08-13,CNB,2,2026-08-13T10:08:00,2026-08-13T10:13:12,2026-08-13T10:10:00,2026-08-13T10:15:12,440.0
22436,2026-08-13,PRYJ,3,2026-08-13T12:08:00,2026-08-13T12:11:06,2026-08-13T12:10:00,2026-08-13T12:13:06,634.0
22436,2026-08-13,BSB,4,2026-08-13T14:00:00,2026-08-13T14:02:36,,,759.0
12952,2026-08-13,NDLS,1,,,2026-08-13T16:55:00,2026-08-13T16:55:00,0.0
12952,2026-08-13,KOTA,2,2026-08-13T21:30:00,2026-08-13T21:30:00,2026-08-13T21:40:00,2026-08-13T21:42:00,465.0
12952,2026-08-13,BRC,3,2026-08-14T03:40:00,2026-08-14T03:40:00,2026-08-14T03:50:00,2026-08-14T03:49:30,992.0
12952,2026-08-13,MMCT,4,2026-08-14T08:35:00,2026-08-14T08:35:00,,,1384.0
12302,2026-08-14,NDLS,1,,,2026-08-14T16:55:00,2026-08-14T16:55:00,0.0
12302,2026-08-14,CNB,2,2026-08-14T21:30:00,2026-08-14T21:33:00,2026-08-14T21:35:00,2026-08-14T21:38:30,440.0
12302,2026-08-14,PRYJ,3,2026-08-14T23:43:00,2026-08-14T23:44:24,2026-08-14T23:45:00,2026-08-14T23:47:24,634.0
12302,2026-08-14,DDU,4,2026-08-15T00:45:00,2026-08-15T00:51:54,2026-08-15T00:55:00,2026-08-15T01:03:54,787.0
12302,2026-08-14,GAYA,5,2026-08-15T03:10:00,2026-08-15T03:16:24,2026-08-15T03:13:00,2026-08-15T03:19:24,992.0
12302,2026-08-14,DHN,6,2026-08-15T05:55:00,2026-08-15T06:03:00,2026-08-15T06:00:00,2026-08-15T06:08:00,1193.0
12302,2026-08-14,ASN,7,2026-08-15T06:54:00,2026-08-15T06:54:00,2026-08-15T06:56:00,2026-08-15T06:56:00,1251.0
12302,2026-08-14,HWH,8,2026-08-15T09:55:00,2026-08-15T09:56:54,,,1450.0
22436,2026-08-14,NDLS,1,,,2026-08-14T06:00:00,2026-08-14T06:10:00,0.0
22436,2026-08-14,CNB,2,2026-08-14T10:08:00,2026-08-14T10:20:24,2026-08-14T10:10:00,2026-08-14T10:23:24,440.0
22436,2026-08-14,PRYJ,3,2026-08-14T12:08:00,2026-08-14T12:18:54,2026-08-14T12:10:00,2026-08-14T12:20:54,634.0
22436,2026-08-14,BSB,4,2026-08-14T14:00:00,2026-08-14T14:12:24,,,759.0
12952,2026-08-14,NDLS,1,,,2026-08-14T16:55:00,2026-08-14T17:00:00,0.0
12952,2026-08-14,KOTA,2,2026-08-14T21:30:00,2026-08-14T21:34:30,2026-08-14T21:40:00,2026-08-14T21:45:30,465.0
12952,2026-08-14,BRC,3,2026-08-15T03:40:00,2026-08-15T03:41:36,2026-08-15T03:50:00,2026-08-15T03:51:06,992.0
12952,2026-08-14,MMCT,4,2026-08-15T08:35:00,2026-08-15T08:35:00,,,1384.0
12302,2026-08-15,NDLS,1,,,2026-08-15T16:55:00,2026-08-15T17:05:00,0.0
12302,2026-08-15,CNB,2,2026-08-15T21:30:00,2026-08-15T21:45:18,2026-08-15T21:35:00,2026-08-15T21:50:48,440.0
12302,2026-08-15,PRYJ,3,2026-08-15T23:43:00,2026-08-15T23:56:24,2026-08-15T23:45:00,2026-08-15T23:59:24,634.0
12302,2026-08-15,DDU,4,2026-08-16T00:45:00,2026-08-16T01:03:30,2026-08-16T00:55:00,2026-08-16T01:13:00,787.0
12302,2026-08-15,GAYA,5,2026-08-16T03:10:00,2026-08-16T03:29:24,2026-08-16T03:13:00,2026-08-16T03:32:54,992.0
12302,2026-08-15,DHN,6,2026-08-16T05:55:00,2026-08-16T06:12:30,2026-08-16T06:00:00,2026-08-16T06:18:30,1193.0
12302,2026-08-15,ASN,7,2026-08-16T06:54:00,2026-08-16T07:12:42,2026-08-16T06:56:00,2026-08-16T07:15:12,1251.0
12302,2026-08-15,HWH,8,2026-08-16T09:55:00,2026-08-16T10:13:06,,,1450.0
22436,2026-08-15,NDLS,1,,,2026-08-15T06:00:00,2026-08-15T06:05:00,0.0
22436,2026-08-15,CNB,2,2026-08-15T10:08:00,2026-08-15T10:11:36,2026-08-15T10:10:00,2026-08-15T10:13:36,440.0
22436,2026-08-15,PRYJ,3,2026-08-15T12:08:00,2026-08-15T12:11:48,2026-08-15T12:10:00,2026-08-15T12:14:48,634.0
22436,2026-08-15,BSB,4,2026-08-15T14:00:00,2026-08-15T14:05:12,,,759.0
12952,2026-08-15,NDLS,1,,,2026-08-15T16:55:00,2026-08-15T16:55:00,0.0
12952,2026-08-15,KOTA,2,2026-08-15T21:30:00,2026-08-15T21:30:48,2026-08-15T21:40:00,2026-08-15T21:41:48,465.0
12952,2026-08-15,BRC,3,2026-08-16T03:40:00,2026-08-16T03:40:00,2026-08-16T03:50:00,2026-08-16T03:50:30,992.0
12952,2026-08-15,MMCT,4,2026-08-16T08:35:00,2026-08-16T08:35:24,,,1384.0
12302,2026-08-16,NDLS,1,,,2026-08-16T16:55:00,2026-08-16T17:05:00,0.0
12302,2026-08-16,CNB,2,2026-08-16T21:30:00,2026-08-16T21:40:12,2026-08-16T21:35:00,2026-08-16T21:45:12,440.0
12302,2026-08-16,PRYJ,3,2026-08-16T23:43:00,2026-08-16T23:55:24,2026-08-16T23:45:00,2026-08-16T23:57:54,634.0
12302,2026-08-16,DDU,4,2026-08-17T00:45:00,2026-08-17T01:04:12,2026-08-17T00:55:00,2026-08-17T01:13:42,787.0
12302,2026-08-16,GAYA,5,2026-08-17T03:10:00,2026-08-17T03:31:06,2026-08-17T03:13:00,2026-08-17T03:33:36,992.0
12302,2026-08-16,DHN,6,2026-08-17T05:55:00,2026-08-17T06:15:06,2026-08-17T06:00:00,2026-08-17T06:20:36,1193.0
12302,2026-08-16,ASN,7,2026-08-17T06:54:00,2026-08-17T07:12:00,2026-08-17T06:56:00,2026-08-17T07:15:00,1251.0
12302,2026-08-16,HWH,8,2026-08-17T09:55:00,2026-08-17T10:13:42,,,1450.0
22436,2026-08-16,NDLS,1,,,2026-08-16T06:00:00,2026-08-16T06:02:00,0.0
22436,2026-08-16,CNB,2,2026-08-16T10:08:00,2026-08-16T10:12:12,2026-08-16T10:10:00,2026-08-16T10:15:12,440.0
22436,2026-08-16,PRYJ,3,2026-08-16T12:08:00,2026-08-16T12:08:00,2026-08-16T12:10:00,2026-08-16T12:09:30,634.0
22436,2026-08-16,BSB,4,2026-08-16T14:00:00,2026-08-16T14:01:36,,,759.0
12952,2026-08-16,NDLS,1,,,2026-08-16T16:55:00,2026-08-16T16:55:00,0.0
12952,2026-08-16,KOTA,2,2026-08-16T21:30:00,2026-08-16T21:30:00,2026-08-16T21:40:00,2026-08-16T21:40:30,465.0
12952,2026-08-16,BRC,3,2026-08-17T03:40:00,2026-08-17T03:43:12,2026-08-17T03:50:00,2026-08-17T03:55:12,992.0
12952,2026-08-16,MMCT,4,2026-08-17T08:35:00,2026-08-17T08:38:18,,,1384.0
12302,2026-08-17,NDLS,1,,,2026-08-17T16:55:00,2026-08-17T16:55:00,0.0
12302,2026-08-17,CNB,2,2026-08-17T21:30:00,2026-08-17T21:34:36,2026-08-17T21:35:00,2026-08-17T21:40:06,440.0
12302,2026-08-17,PRYJ,3,2026-08-17T23:43:00,2026-08-17T23:44:06,2026-08-17T23:45:00,2026-08-17T23:47:06,634.0
12302,2026-08-17,DDU,4,2026-08-18T00:45:00,2026-08-18T00:52:36,2026-08-18T00:55:00,2026-08-18T01:04:36,787.0
12302,2026-08-17,GAYA,5,2026-08-18T03:10:00,2026-08-18T03:20:06,2026-08-18T03:13:00,2026-08-18T03:23:06,992.0
12302,2026-08-17,DHN,6,2026-08-18T05:55:00,2026-08-18T06:04:30,2026-08-18T06:00:00,2026-08-18T06:11:30,1193.0
12302,2026-08-17,ASN,7,2026-08-18T06:54:00,2026-08-18T07:00:54,2026-08-18T06:56:00,2026-08-18T07:03:54,1251.0
12302,2026-08-17,HWH,8,2026-08-18T09:55:00,2026-08-18T10:01:30,,,1450.0
22436,2026-08-17,NDLS,1,,,2026-08-17T06:00:00,2026-08-17T06:00:00,0.0
22436,2026-08-17,CNB,2,2026-08-17T10:08:00,2026-08-17T10:17:00,2026-08-17T10:10:00,2026-08-17T10:19:30,440.0
22436,2026-08-17,PRYJ,3,2026-08-17T12:08:00,2026-08-17T12:14:12,2026-08-17T12:10:00,2026-08-17T12:16:12,634.0
22436,2026-08-17,BSB,4,2026-08-17T14:00:00,2026-08-17T14:07:24,,,759.0
12952,2026-08-17,NDLS,1,,,2026-08-17T16:55:00,2026-08-17T16:57:00,0.0
12952,2026-08-17,KOTA,2,2026-08-17T21:30:00,2026-08-17T21:30:00,2026-08-17T21:40:00,2026-08-17T21:39:30,465.0
12952,2026-08-17,BRC,3,2026-08-18T03:40:00,2026-08-18T03:43:00,2026-08-18T03:50:00,2026-08-18T03:54:00,992.0
12952,2026-08-17,MMCT,4,2026-08-18T08:35:00,2026-08-18T08:39:12,,,1384.0
12302,2026-08-18,NDLS,1,,,2026-08-18T16:55:00,2026-08-18T16:55:00,0.0
12302,2026-08-18,CNB,2,2026-08-18T21:30:00,2026-08-18T21:33:24,2026-08-18T21:35:00,2026-08-18T21:39:24,440.0
12302,2026-08-18,PRYJ,3,2026-08-18T23:43:00,2026-08-18T23:47:36,2026-08-18T23:45:00,2026-08-18T23:50:36,634.0
12302,2026-08-18,DDU,4,2026-08-19T00:45:00,2026-08-19T00:54:30,2026-08-19T00:55:00,2026-08-19T01:05:30,787.0
12302,2026-08-18,GAYA,5,2026-08-19T03:10:00,2026-08-19T03:16:00,2026-08-19T03:13:00,2026-08-19T03:19:00,992.0
12302,2026-08-18,DHN,6,2026-08-19T05:55:00,2026-08-19T06:01:48,2026-08-19T06:00:00,2026-08-19T06:08:48,1193.0
12302,2026-08-18,ASN,7,2026-08-19T06:54:00,2026-08-19T07:00:18,2026-08-19T06:56:00,2026-08-19T07:02:18,1251.0
12302,2026-08-18,HWH,8,2026-08-19T09:55:00,2026-08-19T10:01:18,,,1450.0
22436,2026-08-18,NDLS,1,,,2026-08-18T06:00:00,2026-08-18T06:00:00,0.0
